from_address,to_address,block_number,source,csv_file_path,csv_row_number,transaction_hash,token_address,value
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113809,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/token_transfer_25113809.csv,617,0xb625d247e6b56e7d16379350cdd4251fc30c31ed999e5b3ba4d2cc2e3cacef85,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2274
0xd0e060d743fc561481208cc41bd85a158adf1a8b,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113808,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/transaction_25113808.csv,146,0x366528477462eab4f54ee32b9b51d6968e1b7ad5fc2b6589d20fee843bff5523,,933997130090823
0x0000000000000000000000000000000000000000,0xd0e060d743fc561481208cc41bd85a158adf1a8b,25113706,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113706.csv,400,0xb8c7d4cdff54ba3f80dbcae3a4d0c4d9d3b89fa8b0c1d107ddc0b90a072d01da,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,1652
0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,0xd0e060d743fc561481208cc41bd85a158adf1a8b,25113704,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/transaction_25113704.csv,131,0x9beed8e5ba7aa05cea7bd34c3523f4092e3feda29c51e66448c5ba398d45d3b3,,1000000000000000
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113808,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/token_transfer_25113808.csv,332,0xb67d2ad566224bbe472d2681e5996485055e347ef1044f61ce691a94172b229e,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2273
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113807,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/token_transfer_25113807.csv,122,0xbf5bfad01312df128b3858864b63c3bcf0dd02fdee2406b24866b7d10d9656d8,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2272
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113806,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/token_transfer_25113806.csv,541,0x4862226e2b2220abccfba8c6816dbddb7bcd84887451f2b15f9135d1b3efc3f5,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2271
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113769,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113769.csv,406,0xff3dbaa802d149ed4a638867ef063114f897793c6b6267fee1bb9efd47934c3f,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2123
0xd0e060d743fc561481208cc41bd85a158adf1a8b,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113756,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113756.csv,169,0xe803ed0592bf08f70be8dfbf521d3db030d74d1ab342f1b9b18558f9f76f7613,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,1652
0x233b04e2b8c6611a930f8974eb67057f9f2062ee,0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,25114392,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114301_25114400/transaction_25114392.csv,185,0x6166c61acf76daa45456c4405d6ddcc0d58060586780fe75abbc221fe83e27e6,,0
